database_name,database_position,database_age,database_ca,database_pa,database_nationality,database_club,database_uid,角球,传中,盘带,射门,接球,任意球,头球,远射,界外球,盯人,传球,罚点球,抢断,技术,侵略性,预判,勇敢,镇定,集中,决断,意志力,想象力,领导力,无球跑动,防守站位,团队合作,视野,工作投入,爆发力,灵活,平衡,弹跳,体质,速度,耐力,强壮,稳定,肮脏,大赛,伤病,多样,制空能力,拦截传中,沟通,神经指数,手控球,大脚开球,一对一,反应,出击,击球倾向,手抛球的能力,适应性,雄心,争论,忠诚,抗压能力,职业,体育道德,情绪控制,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,身高,左脚,右脚,身价（欧元）,当前声望,本国声望,世界声望,种族,RCA,肤色,出生日期,国家队出场,国家队进球,工资（欧元）,UID,防守,身体,速度_2,创造,进攻,技术_2,制空,精神,拦截射门,身体_2,速度_3,精神_2,指挥防守,意外性,制空_2,大脚,球员习惯,二维码&球员名片&扫码填写评价
Javi Puado,AM/ST RLC,27,145,150,Spain,Espanyol,67222737,8,11,13,14,12,8,9,13,5,8,13,12,8,14,10,13,12,14,12,14,14,13,15,16,8,13,13,14,15,15,11,10,13,14,13,12,13,7,12,7,15,1,1,1,2,3,1,4,1,2,1,2,12,12,7,16,12,14,12,12,1,1,1,1,1,1,1,14,1,10,20,18,16,19,179,12,20,"£39,926,352",7250,7250,5750,MediterraneanHispanic,137,6,35940,1,1,"£30,247",67222737,8,12.75,14.5,13,14.6666666666667,13,9.5,13,2.5,12.75,14.5,13,1,2,2,1.5,"角度刁钻的射门
经常带球",#NAME?
Jonathan Burkardt,ST ,25,145,150,Germany,Eintracht Frankfurt,91170086,6,9,13,15,12,8,14,12,6,7,12,14,8,13,13,16,16,12,12,12,16,13,14,16,8,17,11,18,15,14,12,12,10,15,16,12,15,6,14,14,13,1,2,2,3,2,3,2,3,1,3,2,4,13,6,18,15,16,16,17,1,1,1,1,1,8,1,10,1,10,14,14,14,20,181,12,20,"£29,516,984",7250,7250,5750,NorthernEuropean,145,2,36718,3,0,"£66,295",91170086,7.66666666666667,13.5,15,12,14.3333333333333,12.6666666666667,13,14.8333333333333,2.5,13.5,15,14.8333333333333,2,3,1.5,2.5,跑肋部空间接球,#NAME?
Kevin Danso,D C,26,145,150,"Austria,Ghana,England",Tottenham Hotspur,91144914,5,7,8,10,12,5,15,7,17,14,13,10,13,10,13,14,15,11,12,13,15,7,10,13,15,12,8,15,14,12,14,17,16,16,13,15,16,12,13,4,16,2,1,4,2,2,3,2,3,3,1,2,15,17,6,11,13,14,14,10,1,1,20,1,1,1,14,1,1,1,1,1,1,1,190,10,20,"£38,250,000",7250,7000,6250,AfricanCaribbean,144,15,36057,25,0,"£75,000",91144914,14,13.5,15,9.33333333333333,11.3333333333333,10,16,13.5,2.5,13.5,15,13.5,2.5,2,2,2.5,,#NAME?
Rico Henry,D/WB L,28,145,150,"England,Jamaica",Brentford,29129073,7,13,14,10,14,7,13,10,9,12,13,8,13,13,12,14,14,14,14,14,15,13,9,12,14,14,14,15,16,14,14,9,14,16,14,12,15,4,14,8,11,3,2,3,3,3,1,2,3,3,3,3,13,14,7,13,14,15,15,15,1,20,1,1,19,1,1,14,1,1,12,1,1,1,170,20,7,"£29,140,836",7250,7250,6150,MixedRace,142,12,35619,0,0,"£46,000",29129073,13,13.5,16,13.3333333333333,12,13.6666666666667,11,14.1666666666667,2.5,13.5,16,14.1666666666667,2.5,3,3,2,"沿左路带球突进
有机会就前插
趟球变向加速过人
利用脚下技术将球带出危险区",#NAME?
Rubén Vargas,M/AM RLC,27,145,150,"Switzerland,Dominican Republic",Sevilla,98041215,13,13,14,11,14,11,8,11,16,8,13,12,9,14,15,12,12,13,13,14,14,15,6,12,8,14,12,13,15,15,12,8,14,16,12,9,14,10,13,13,14,1,4,3,3,2,3,1,3,1,3,3,12,14,9,12,8,12,10,10,1,1,1,1,10,10,1,17,10,15,20,19,17,9,179,12,20,"£41,827,612",7250,7200,6500,MediterraneanHispanic,140,4,36012,52,9,"£27,512",98041215,8.33333333333333,12,15.5,13.3333333333333,12,14,8,13.1666666666667,2,12,15.5,13.1666666666667,3.5,3,1.5,3,经常带球,#NAME?
Steven Bergwijn,M/AM/ST RLC,27,145,150,"Netherlands,Suriname",Al-Ittihad Club,37050140,13,13,15,13,15,13,7,13,5,5,13,14,7,15,10,14,13,14,11,12,13,17,13,15,5,9,13,10,15,13,14,9,10,12,12,11,12,7,12,13,13,4,3,3,1,1,2,3,2,1,1,1,13,14,4,5,14,11,12,11,1,1,1,1,1,1,1,18,12,16,20,16,18,16,178,14,20,"£8,505,000",7250,7100,6250,AfricanCaribbean,134,15,35711,35,8,"£149,164",37050140,5.66666666666667,12.5,13.5,14.3333333333333,14,15,8,12,2.5,12.5,13.5,12,3,1,2.5,1.5,"大力射门
尝试花式动作
从左路内切",#NAME?
Viktor Tsygankov,M/AM RLC,27,145,150,"Ukraine,Israel",Girona,71080414,14,13,15,11,15,14,7,12,9,6,14,15,8,16,10,12,9,13,11,12,15,14,13,14,8,11,15,11,15,14,12,9,12,14,13,12,11,7,7,14,10,1,1,1,2,2,2,2,1,1,2,4,13,15,5,17,5,14,16,8,1,8,1,8,14,14,1,16,10,19,17,16,20,10,178,20,12,"£39,926,352",7250,7250,6500,NorthernEuropean,140,4,35749,61,13,"£33,271",71080414,7.33333333333333,12.75,14.5,14.3333333333333,12.6666666666667,15.3333333333333,8,11.6666666666667,1.5,12.75,14.5,11.6666666666667,1,2,1.5,3,"角度刁钻的射门
弧线球射门
从右路内切",#NAME?
Calvin Bassey,D LC,25,145,149,"Nigeria,England,Italy",Fulham,28111079,9,12,12,7,10,7,15,7,14,15,11,9,14,12,14,12,16,13,13,13,10,11,10,12,14,12,7,15,14,10,13,16,16,15,19,18,11,11,9,5,13,2,2,1,2,1,2,3,1,1,2,1,12,16,7,14,9,15,18,17,1,19,20,1,10,1,1,1,1,1,1,1,1,1,185,20,7,"£42,075,000",7250,7250,5850,AfricanCaribbean,145,15,36525,31,0,"£60,000",28111079,14.3333333333333,15,14.5,9.66666666666667,10.6666666666667,11.3333333333333,15.5,12.6666666666667,2,15,14.5,12.6666666666667,1.5,2,1.5,1.5,"利用脚下技术将球带出危险区
经常带球",#NAME?
Facundo Medina,D/WB LC,26,145,149,Argentina,RC Lens,14185869,6,14,13,11,14,8,13,8,14,14,14,10,13,14,14,13,14,11,14,14,15,12,14,14,14,16,13,19,13,13,14,14,15,14,14,14,15,11,13,8,11,3,3,2,4,1,2,2,3,1,3,3,14,13,8,14,14,13,12,12,1,16,20,1,16,1,1,1,1,1,1,1,1,1,184,20,8,"£16,973,018",7250,7150,4250,MediterraneanHispanic,145,8,36308,4,0,"£27,255",14185869,13.6666666666667,13.75,13.5,13,12,13.6666666666667,13.5,14.3333333333333,2.5,13.75,13.5,14.3333333333333,2.5,4,2,2.5,"插入对方禁区
有机会就前插
经常带球
把球带出防守区域",#NAME?
Ibrahim Sangaré,DM/M C,27,145,149,Ivory Coast,Nottingham Forest,48042717,12,9,12,7,12,11,15,13,5,14,15,4,15,13,16,13,17,15,11,13,12,13,14,11,15,17,12,17,13,14,15,17,15,12,17,17,12,8,13,7,12,1,1,2,3,4,3,2,2,3,1,3,8,15,11,12,12,15,13,12,1,1,1,1,1,1,20,1,19,1,1,10,1,1,191,7,20,"£35,530,000",7250,7000,5750,AfricanCaribbean,145,17,35766,45,11,"£80,000",48042717,14.6666666666667,15.75,12.5,13.3333333333333,11,12.3333333333333,16,13.8333333333333,2,15.75,12.5,13.8333333333333,1.5,3,2.5,3,经常尝试传身后球,#NAME?
Pervis Estupiñán,D/WB/M L,27,145,149,"Ecuador,Spain",Casciavit Milano,86045976,9,14,13,9,12,9,10,13,14,12,14,11,15,14,15,13,13,14,12,12,13,12,10,13,11,15,13,16,14,13,12,10,16,14,18,14,13,14,12,12,13,3,2,2,3,3,3,3,1,3,2,3,15,14,5,10,14,14,13,10,1,20,11,1,19,1,1,16,1,1,11,1,1,1,175,20,8,"£17,354,352",7250,7750,6250,AfricanCaribbean,139,16,35816,49,4,"£76,947",86045976,12.6666666666667,14.25,14,13,12,13,10,13,2,14.25,14,13,2,3,3,3,有机会就前插,#NAME?
Aitor Paredes,D C,25,145,148,"Spain,Pays Basque",A. Bilbao,67276232,8,9,9,11,14,8,15,7,10,15,14,8,15,14,13,14,13,13,14,14,12,7,9,9,15,14,13,14,14,14,8,12,13,13,13,14,13,15,14,5,15,2,1,2,2,2,1,2,1,2,2,3,17,10,2,11,10,10,10,20,1,1,20,1,1,1,1,1,1,1,1,1,1,1,186,12,20,"£70,000,744",7250,7250,5750,MediterraneanHispanic,145,6,36645,1,0,"£51,987",67276232,15,12.25,13.5,11.3333333333333,11,12.3333333333333,13.5,13.5,1.5,12.25,13.5,13.5,1.5,2,2,2,,#NAME?
Barış Alper Yılmaz,AM/ST RL,25,145,148,Türkiye,Galatasaray A.Ş.,70112874,7,8,14,12,12,7,12,12,7,8,9,12,7,13,16,11,15,12,12,12,17,13,10,13,7,11,10,16,14,13,14,13,16,16,16,15,16,7,14,5,20,1,2,3,2,1,2,3,2,2,2,1,8,14,2,11,10,17,14,8,1,12,1,12,12,14,1,14,1,14,18,12,20,16,186,13,20,"£27,378,074",7250,7250,6050,MediterraneanHispanic,133,4,36669,28,2,"£41,548",70112874,7.33333333333333,14.5,15,10.6666666666667,12.3333333333333,13,12.5,13,2.5,14.5,15,13,2.5,2,1,1.5,趟球变向加速过人,#NAME?
Ramy Bensebaïni,D/WB LC,30,145,148,Algeria,Borussia Dortmund,12038706,12,12,12,10,14,11,16,10,14,13,13,17,15,14,16,13,16,14,13,13,16,12,13,13,13,13,13,14,13,11,15,15,12,14,14,14,13,16,14,12,14,3,2,2,2,1,2,1,3,3,1,4,11,14,14,12,11,10,6,6,1,20,18,1,16,1,10,10,8,1,8,1,1,1,187,20,9,"£18,653,452",7150,7150,6000,NorthAfricanMiddleEastern,143,4,34805,72,7,"£99,442",12038706,13.6666666666667,13.5,13.5,12.6666666666667,12.3333333333333,13.3333333333333,15.5,14,2,13.5,13.5,14,2,2,2,3,喜欢将球转移到边路,#NAME?
Łukasz Skorupski,GK ,34,145,146,Poland,Bologna FC 1909,54009099,5,1,2,1,10,9,4,2,1,3,10,2,1,8,13,17,14,13,13,13,13,10,12,9,15,17,9,16,12,15,15,14,14,12,15,16,13,8,14,4,11,14,12,13,3,12,10,17,16,10,16,11,12,13,3,14,11,17,17,14,20,1,1,1,1,1,1,1,1,1,1,1,1,1,187,9,20,"£6,944,314",7250,6500,5600,NorthernEuropean,145,2,33363,17,0,"£27,754",54009099,6.33333333333333,15.25,12,9.66666666666667,7.66666666666667,6.66666666666667,9,14.5,16.5,15.25,12,14.5,12.5,3,13,10.5,,#NAME?
Douglas Santos,D/WB LC,31,145,145,"Brazil,Russia",Zenit St. Petersburg,19187721,14,14,13,11,14,14,8,14,14,12,14,14,13,14,11,14,11,15,13,16,14,11,13,10,13,14,13,12,14,15,13,9,14,13,14,9,18,12,13,7,8,1,3,3,2,4,3,2,3,3,3,1,7,13,9,14,12,12,9,10,1,20,15,13,18,1,15,13,12,1,10,1,1,1,175,20,9,"£300,000,000",7250,7250,5500,MixedRace,140,12,34415,1,0,"£29,129",19187721,12.6666666666667,12.75,13.5,12.6666666666667,12,13.6666666666667,8.5,13.6666666666667,2.5,12.75,13.5,13.6666666666667,3,2,2.5,2,"弧线球射门
撞墙式配合
利用脚下技术将球带出危险区
避免使用弱势脚",#NAME?
Joël Veltman,D RC,33,145,145,Netherlands,Brighton & Hove Albion,37024733,7,11,9,7,13,4,14,5,8,14,13,7,17,13,16,16,16,14,16,16,16,9,15,9,17,15,11,14,12,12,11,11,16,11,14,12,17,12,15,12,11,3,3,2,1,2,1,1,2,2,2,4,20,9,4,18,17,18,14,16,1,1,20,19,1,14,10,1,1,10,1,1,1,1,182,8,20,"£9,315,675",7250,7250,6250,NorthernEuropean,143,4,33618,28,2,"£57,000",37024733,16,12.25,11.5,11,10,11.6666666666667,12.5,15.8333333333333,1.5,12.25,11.5,15.8333333333333,2.5,1,2.5,2.5,利用脚下技术将球带出危险区,#NAME?
Ryan Christie,DM/M/AM RC,30,145,145,Scotland,AFC Bournemouth,61042900,11,12,14,10,14,12,5,12,1,7,14,11,13,15,15,15,11,10,13,13,12,13,8,15,11,15,14,18,13,15,13,9,15,13,17,12,15,11,14,6,14,1,1,2,1,2,3,3,1,3,2,2,10,14,8,14,10,14,14,13,1,1,1,1,1,1,17,13,20,13,14,16,16,1,178,20,10,"£39,971,252",7250,7250,5650,NorthernEuropean,138,1,34752,59,7,"£60,000",61042900,10.3333333333333,14.25,13,13.6666666666667,11.6666666666667,14.3333333333333,7,13.1666666666667,2,14.25,13,13.1666666666667,1.5,1,1.5,2.5,"中路带球突进
撞墙式配合
控制节奏
喜欢从双侧内切",#NAME?
Vedat Muriqi,ST ,31,145,145,"Kosovo,Albania",Mallorca,11022221,5,9,10,14,11,6,17,12,6,8,12,15,9,12,16,16,18,14,16,14,17,12,14,15,11,19,13,19,10,10,17,17,15,12,17,18,15,7,14,10,5,2,1,2,2,1,2,2,2,3,1,2,14,15,5,17,17,16,13,15,1,1,1,1,1,1,1,1,1,1,1,5,1,20,194,20,11,"£300,000,000",7300,7300,6300,NorthernEuropean,145,1,34448,60,31,"£66,477",11022221,9.33333333333333,15.5,11,12.3333333333333,14.3333333333333,11,17,16.6666666666667,2,15.5,11,16.6666666666667,1.5,2,1.5,2,"激怒对手
背身拿球
撞墙式配合",#NAME?
Neymar,AM LC,33,144,190,Brazil,SAN,19024412,15,15,19,15,19,16,8,15,4,4,16,18,5,19,11,16,11,16,10,14,12,19,14,17,4,8,17,8,11,13,12,7,7,11,9,10,10,13,14,19,12,2,2,2,2,1,3,2,1,3,2,3,16,11,15,9,14,10,6,8,1,1,1,1,1,1,1,14,1,12,20,19,14,15,175,12,20,"£2,512,380",7750,8000,7000,MixedRace,137,11,33639,128,79,"£30,047",19024412,4.33333333333333,11,11,17.3333333333333,16,19,7.5,11.8333333333333,1.5,11,11,11.8333333333333,2,2,1.5,3,"用外脚背
与裁判争论
尝试花式动作
喜欢从双侧内切
喜欢连续过多人
经常带球",#NAME?
Ángel Di María,AM RLC,37,144,174,"Argentina,Italy",Club Atlético Rosario Central,14000219,16,18,19,13,18,15,7,17,6,4,18,14,7,20,12,16,11,17,12,13,15,17,10,16,6,10,18,6,13,16,12,10,15,10,10,7,12,14,20,12,16,2,2,3,2,1,3,1,2,1,2,1,12,18,13,13,20,18,6,12,1,1,1,1,1,1,1,14,12,14,18,15,20,14,180,20,8,"£1,064,703",7200,8500,7100,MediterraneanHispanic,142,10,32187,145,31,"£18,507",14000219,5.66666666666667,11.25,11.5,17.6666666666667,15.3333333333333,19,8.5,12.8333333333333,1.5,11.25,11.5,12.8333333333333,2.5,2,1.5,2,"激怒对手
趟球变向加速过人
避免使用弱势脚
经常带球
从右路内切",#NAME?
Arda Güler,M/AM RC,20,144,173,Türkiye,R. Madrid,2000077193,15,15,14,14,17,14,11,16,8,7,16,14,7,18,14,14,13,13,11,14,16,15,12,12,7,16,17,13,14,15,13,6,14,12,11,11,12,10,12,8,11,3,2,2,1,3,2,1,2,1,2,2,12,20,5,8,16,16,15,17,1,1,1,1,1,1,9,9,18,11,11,20,18,7,175,20,8,"£96,229,420",7200,7250,6700,MediterraneanHispanic,144,6,38408,21,5,"£89,498",2000077193,7,12.5,13,16,13,16.3333333333333,8.5,14,1.5,12.5,13,14,2,1,3,2,"与裁判争论
回撤拿球
控制节奏
后排插上进攻",#NAME?
Filip Jörgensen,GK ,23,144,169,"Denmark,Sweden",Chelsea,67283140,5,3,3,2,14,6,8,1,1,3,13,1,3,12,5,11,14,9,9,10,11,3,8,1,16,14,8,12,12,17,10,15,15,12,15,16,10,15,12,14,14,16,15,10,6,15,13,15,17,14,13,14,10,10,10,10,10,10,10,10,20,1,1,1,1,1,1,1,1,1,1,1,1,1,189,8,20,"£48,233,334",7200,6850,5450,NorthernEuropean,144,4,37362,1,0,"£70,000",67283140,7.33333333333333,14.5,12,8,4,9.66666666666667,11.5,11.5,16,14.5,12,11.5,12.5,6,15.5,13.5,,#NAME?
Cristhian Mosquera,D RC,21,144,166,"Spain,Colombia",Arsenal,2000030816,5,10,11,8,12,9,13,9,11,15,13,8,17,11,15,15,15,13,13,13,13,10,10,7,13,14,13,15,14,13,13,14,16,16,14,15,12,9,13,9,9,3,2,1,3,2,1,2,3,3,3,1,14,17,9,12,15,16,13,12,1,1,20,15,1,1,1,1,1,1,1,1,1,1,191,8,20,"£47,806,667",7200,7200,6000,AfricanCaribbean,144,16,38165,0,0,"£60,000",2000030816,15,13.75,15,12,9.33333333333333,11.3333333333333,13.5,13.8333333333333,2.5,13.75,15,13.8333333333333,1.5,3,2.5,1,,#NAME?
Jordan Henderson,DM/M C,35,144,165,England,Brentford,28005568,14,12,11,7,11,13,10,9,9,14,16,11,14,14,14,15,16,14,15,16,19,7,19,13,15,18,15,17,12,11,14,12,17,12,15,12,13,8,16,12,13,1,3,2,2,3,1,1,4,4,1,3,11,18,7,16,18,20,15,19,1,1,14,11,1,12,19,1,20,12,1,8,1,1,182,7,20,"£300,000,000",7200,7500,6500,NorthernEuropean,141,3,33041,84,3,"£65,000",28005568,14.3333333333333,13,12,12.6666666666667,11.3333333333333,12,11,16.5,2.5,13,12,16.5,2.5,2,2,2,"回撤拿球
控制节奏
倾向于尽可能长地延续自己的职业生涯（隐藏习惯）",#NAME?
Pierre-Emile Højbjerg,DM/M C,30,144,165,"Denmark,France",Olympique de Marseille,27058392,11,12,11,11,15,13,8,13,10,10,15,13,15,15,17,15,15,14,15,13,16,11,17,13,12,16,13,17,11,11,14,12,17,14,16,15,14,13,14,6,16,2,2,3,2,2,1,3,3,2,2,1,14,18,14,9,15,15,7,10,1,10,13,10,10,12,18,11,20,11,11,14,11,1,185,9,20,"£28,041,134",7200,7500,6100,NorthernEuropean,145,5,34916,88,11,"£43,683",27058392,12.3333333333333,14,12.5,13,12.6666666666667,13.6666666666667,10,15,3,14,12.5,15,2.5,2,2,1,"插入对方禁区
跑肋部空间接球
有机会就前插
经常尝试传身后球
控制节奏
喜欢将球转移到边路",#NAME?
Nélson Semedo,D/WB R,31,144,164,"Portugal,Cape Verde Islands",Fenerbahçe A.Ş.,55061470,8,12,14,9,15,8,7,10,11,11,12,8,15,15,13,14,13,9,10,11,15,14,6,15,12,14,12,15,16,16,14,8,15,16,15,13,14,11,15,7,15,1,1,1,1,1,3,2,2,3,4,3,16,13,10,14,15,15,13,10,1,13,10,20,10,20,1,1,1,10,1,1,10,1,177,10,20,"£300,000,000",7400,7300,6050,AfricanCaribbean,135,13,34289,44,0,"£83,096",55061470,12.6666666666667,14.5,16,12.6666666666667,11,14.6666666666667,7.5,12.8333333333333,2,14.5,16,12.8333333333333,1,1,1,3,"沿右路带球突进
有机会就前插",#NAME?
André Onana,GK ,29,144,160,Cameroon,Manchester United,67201634,2,1,2,3,13,3,5,1,2,3,14,5,1,12,9,13,13,17,13,13,15,14,14,2,11,14,11,14,10,12,14,16,16,11,13,14,10,8,15,7,9,15,14,14,17,16,17,11,12,15,10,15,15,17,5,11,15,11,14,10,20,1,1,1,1,1,1,1,1,1,1,1,1,1,190,12,20,"£34,125,000",7350,7250,6500,AfricanCaribbean,144,15,35157,48,0,"£110,000",67201634,5,13.25,10.5,13,7.33333333333333,9,10.5,13.5,11.5,13.25,10.5,13.5,14,17,15.5,16,利用脚下技术将球带出危险区,#NAME?
Ian Maatsen,D/WB/M LC,23,144,160,"Netherlands,Suriname",Aston Villa,28121372,12,14,13,11,14,13,8,11,12,11,14,11,13,14,14,13,12,14,10,13,14,14,7,11,12,15,13,15,15,15,12,8,14,15,14,9,14,11,13,5,18,3,2,2,1,2,3,1,3,1,2,2,16,16,5,12,12,14,11,11,1,20,12,1,19,1,15,16,15,12,13,1,12,1,178,20,9,"£56,956,666",7200,7000,6000,AfricanCaribbean,132,11,37325,1,1,"£85,000",28121372,12,12.5,15,13.6666666666667,12,13.6666666666667,8,12.8333333333333,2,12.5,15,12.8333333333333,2,1,2.5,2.5,,#NAME?
"Luiz Henrique(Zenit St. Petersburg,Brazil)",AM RL,24,144,160,Brazil,Zenit St. Petersburg,19377206,8,11,17,10,13,8,11,13,7,7,13,13,11,16,10,13,12,13,10,11,14,15,8,13,11,11,12,11,16,15,13,12,15,15,14,12,11,7,11,9,12,4,2,1,1,2,3,2,1,2,1,2,13,13,8,12,11,12,9,13,1,1,1,1,1,1,1,10,10,14,16,10,20,15,182,20,9,"£40,482,912",7050,7050,6000,AfricanCaribbean,138,17,36893,0,0,"£27,576",19377206,9.66666666666667,13.5,15.5,13.3333333333333,12,15.3333333333333,11.5,11.8333333333333,1.5,13.5,15.5,11.8333333333333,1.5,1,3,2.5,"喜欢连续过多人
从右路内切",#NAME?
Matt O'Riley,M/AM C,24,144,160,"Denmark,England,Norway",Brighton & Hove Albion,29186052,14,12,13,13,16,8,11,12,5,8,15,8,12,17,12,14,8,15,12,14,14,13,9,16,11,13,17,12,12,12,14,14,14,12,13,13,14,7,14,4,10,4,2,1,3,1,3,1,1,2,3,3,12,17,3,14,12,18,15,16,1,1,1,1,1,1,14,1,20,1,1,18,1,1,187,20,13,"£43,473,334",7200,6750,5750,NorthernEuropean,143,3,36851,4,0,"£50,000",29186052,10.3333333333333,13,12,15,14.6666666666667,15.3333333333333,12.5,12.5,1,13,12,12.5,1.5,3,2.5,3,"中路带球突进
插入对方禁区
经常尝试传身后球
撞墙式配合",#NAME?
Takehiro Tomiyasu,D/WB RLC,26,144,160,Japan,,45095490,7,11,13,8,12,6,12,9,11,13,12,7,15,13,13,14,15,14,14,13,14,13,7,12,14,16,12,16,13,13,13,14,13,13,14,13,15,10,12,15,16,3,1,1,1,2,2,3,1,1,1,4,18,14,4,15,14,17,17,14,1,18,15,20,15,16,10,1,1,1,1,1,1,1,188,14,20,£0,6900,6900,6000,Asian,139,6,36104,42,1,,45095490,14,13.25,13,12.3333333333333,11.3333333333333,12.6666666666667,13,14.3333333333333,2,13.25,13,14.3333333333333,1,1,2.5,3,"利用脚下技术将球带出危险区
把球带出防守区域",#NAME?
Dani Parejo,DM/M/AM C,36,144,159,Spain,Villarreal,67030707,12,14,12,12,16,17,8,16,8,9,18,18,13,16,11,16,11,16,12,16,15,13,15,12,14,15,17,16,8,10,12,10,15,8,10,10,14,13,14,15,10,2,4,2,3,2,2,1,3,4,1,2,10,12,14,12,16,16,13,13,1,1,1,1,1,1,18,10,20,8,1,16,1,1,182,14,20,"£3,357,711",7200,7200,6450,MediterraneanHispanic,144,6,32614,4,0,"£50,390",67030707,12,10.5,8,16,13.3333333333333,14.6666666666667,9,14.1666666666667,2,10.5,8,14.1666666666667,3,3,2,2,"弧线球射门
回撤拿球
控制节奏
停球观察
长时间控球",#NAME?
Nicolas Pépé,AM RL,30,144,159,"Ivory Coast,France",Villarreal,85136376,12,13,16,14,16,15,8,16,2,6,14,15,5,17,6,16,12,13,8,11,7,18,5,17,8,12,13,11,16,16,12,8,11,15,13,10,8,7,9,11,7,2,1,1,2,2,1,3,1,3,3,2,7,7,7,11,11,12,12,14,1,1,1,1,1,1,1,12,1,12,16,1,20,12,183,20,8,"£43,377,128",7200,7200,6800,AfricanCaribbean,143,15,34848,47,11,"£50,390",85136376,6.33333333333333,12.75,15.5,15,14.6666666666667,16.3333333333333,8,11,2,12.75,15.5,11,1,2,2,1.5,"沿右路带球突进
远射
乐于反越位
喜欢连续过多人",#NAME?
Ángel Correa,AM/ST RC,30,144,158,"Argentina,Spain",Tigres de la UANL,14043349,12,11,15,14,15,9,8,11,2,5,12,11,6,15,14,14,15,15,15,14,17,15,10,16,8,13,13,15,14,15,14,6,16,14,12,11,17,13,16,7,12,3,3,3,3,4,2,1,2,1,1,2,13,14,10,16,15,16,14,11,1,1,1,1,1,1,1,11,1,10,14,15,18,20,172,12,20,"£12,472,382",7200,7400,6700,NorthAfricanMiddleEastern,135,8,34767,28,3,"£24,157",14043349,6.33333333333333,13,14,13.3333333333333,15,15,7,14.6666666666667,1.5,13,14,14.6666666666667,3,3,3.5,2,"喜欢连续过多人
经常带球",#NAME?
Amar Dedić,D/WB R,22,144,156,"Bosnia and Herzegovina,Austria",Sport Lisboa e Benfica,16283629,7,11,16,11,13,7,10,9,10,11,13,8,13,15,15,13,11,13,14,12,17,17,14,15,10,9,13,15,15,16,12,10,14,16,14,11,13,14,12,13,15,4,3,2,3,3,3,3,2,3,2,3,15,15,7,12,10,13,14,14,1,14,13,20,14,20,1,1,1,1,1,1,1,1,180,12,20,"£43,210,340",7000,7100,5500,NorthernEuropean,134,4,37486,20,1,"£20,827",16283629,11.3333333333333,13.25,15.5,14.3333333333333,13,14.6666666666667,10,12.6666666666667,2.5,13.25,15.5,12.6666666666667,2.5,3,3.5,3,"沿右路带球突进
有机会就前插
激怒对手
与裁判争论
鼓动观众情绪",#NAME?
Ruben Loftus-Cheek,M/AM C,29,144,156,"England,Guyana",Casciavit Milano,28068727,7,11,13,12,13,8,14,13,11,12,14,12,13,13,10,14,12,14,13,13,14,10,12,14,13,14,12,13,12,13,15,14,10,13,15,17,11,9,14,16,12,3,2,1,1,2,2,1,2,2,1,1,14,15,3,13,14,14,16,15,1,1,1,1,1,1,15,11,20,13,8,17,9,14,191,12,20,"£15,516,833",7200,7000,6000,AfricanCaribbean,141,12,35087,10,0,"£85,257",28068727,12.6666666666667,15,12.5,12,13.3333333333333,13,14,13.3333333333333,1.5,15,12.5,13.3333333333333,1.5,1,2.5,1.5,中路带球突进,#NAME?
Leandro Paredes,DM/M C,31,144,155,Argentina,Club Atlético Boca Juniors,14024702,15,13,12,12,15,15,8,14,6,10,16,16,15,16,15,14,16,14,13,14,14,11,14,12,15,15,16,14,12,14,12,9,14,10,14,11,14,16,12,10,10,1,2,3,2,1,1,2,3,1,4,1,12,11,14,10,10,11,6,9,1,1,1,1,1,1,19,1,20,1,1,12,1,1,183,10,20,"£300,000,000",7200,7450,7000,MediterraneanHispanic,146,6,34514,73,5,"£44,011",14024702,13.3333333333333,12.75,11,14.3333333333333,12.6666666666667,14.3333333333333,8.5,14.3333333333333,2.5,12.75,11,14.3333333333333,2.5,2,1,1,"远射
控制节奏
停球观察
倒地铲球
喜欢接脚下球",#NAME?
Samuele Ricci,DM/M C,23,144,155,Italy,Casciavit Milano,43390774,9,11,12,9,14,10,8,12,6,10,16,8,13,15,13,15,15,15,15,15,16,13,11,13,13,16,14,14,13,14,14,11,16,13,15,12,15,5,13,4,11,3,2,1,2,3,2,4,1,1,2,2,13,14,6,13,13,15,15,12,1,1,1,1,1,1,20,10,20,10,1,10,10,1,180,10,20,"£27,278,688",7200,7200,5600,MediterraneanHispanic,143,3,37124,10,0,"£76,947",43390774,12,13.75,13,14.3333333333333,12.3333333333333,13.6666666666667,9.5,15.3333333333333,2.5,13.75,13,15.3333333333333,1.5,2,3,2,"有机会就前插
控制节奏
长距离传球
经常带球",#NAME?
Alexsandro Ribeiro,D C,25,144,154,Brazil,LOSC Lille,83282675,4,5,8,10,13,5,17,7,7,16,14,7,15,10,17,14,15,11,12,12,16,13,17,7,14,15,10,14,14,10,14,15,17,14,14,15,16,13,14,6,6,1,3,2,2,3,2,2,2,2,3,2,13,13,5,16,18,16,11,15,1,1,20,1,1,1,10,1,1,1,1,1,1,1,192,20,12,"£28,980,310",7200,7000,6250,NativeAmerican,143,9,36381,2,0,"£15,123",83282675,15,13.25,14,12.3333333333333,9.33333333333333,10.3333333333333,16,14,2,13.25,14,14,2.5,2,2,2,把球带出防守区域,#NAME?
